2025-03-27 23:29:34 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 13.00 ¡ÆC, Internal Humidity: 59.00 %, External Illuminance: 705.00 W/m2, Internal CO2: 0.30 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:12 - Internal Temperature: 27.00 ¡ÆC, External Temperature: 17.00 ¡ÆC, Internal Humidity: 57.00 %, External Illuminance: 689.00 W/m2, Internal CO2: 0.42 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:21 - Internal Temperature: 21.00 ¡ÆC, External Temperature: 15.00 ¡ÆC, Internal Humidity: 60.00 %, External Illuminance: 593.00 W/m2, Internal CO2: 0.82 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:24 - Internal Temperature: 20.00 ¡ÆC, External Temperature: 17.00 ¡ÆC, Internal Humidity: 59.00 %, External Illuminance: 553.00 W/m2, Internal CO2: 0.26 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:27 - Internal Temperature: 24.00 ¡ÆC, External Temperature: 13.00 ¡ÆC, Internal Humidity: 50.00 %, External Illuminance: 609.00 W/m2, Internal CO2: 0.14 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:30 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 1.00 ¡ÆC, Internal Humidity: 56.00 %, External Illuminance: 537.00 W/m2, Internal CO2: 0.58 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:32 - Internal Temperature: 25.00 ¡ÆC, External Temperature: 5.00 ¡ÆC, Internal Humidity: 60.00 %, External Illuminance: 545.00 W/m2, Internal CO2: 0.22 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:34 - Internal Temperature: 21.00 ¡ÆC, External Temperature: 11.00 ¡ÆC, Internal Humidity: 54.00 %, External Illuminance: 545.00 W/m2, Internal CO2: 0.34 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:35 - Internal Temperature: 20.00 ¡ÆC, External Temperature: 15.00 ¡ÆC, Internal Humidity: 52.00 %, External Illuminance: 601.00 W/m2, Internal CO2: 0.14 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:36 - Internal Temperature: 19.00 ¡ÆC, External Temperature: 15.00 ¡ÆC, Internal Humidity: 54.00 %, External Illuminance: 705.00 W/m2, Internal CO2: 0.50 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:37 - Internal Temperature: 30.00 ¡ÆC, External Temperature: 5.00 ¡ÆC, Internal Humidity: 52.00 %, External Illuminance: 617.00 W/m2, Internal CO2: 0.62 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:48 - Internal Temperature: 19.00 ¡ÆC, External Temperature: 11.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 561.00 W/m2, Internal CO2: 1.10 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:49 - Internal Temperature: 25.00 ¡ÆC, External Temperature: 21.00 ¡ÆC, Internal Humidity: 53.00 %, External Illuminance: 705.00 W/m2, Internal CO2: 0.94 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:49 - Internal Temperature: 29.00 ¡ÆC, External Temperature: 5.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 641.00 W/m2, Internal CO2: 0.86 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:50 - Internal Temperature: 19.00 ¡ÆC, External Temperature: 11.00 ¡ÆC, Internal Humidity: 52.00 %, External Illuminance: 609.00 W/m2, Internal CO2: 0.50 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:50 - Internal Temperature: 30.00 ¡ÆC, External Temperature: 9.00 ¡ÆC, Internal Humidity: 52.00 %, External Illuminance: 689.00 W/m2, Internal CO2: 0.22 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:51 - Internal Temperature: 24.00 ¡ÆC, External Temperature: 21.00 ¡ÆC, Internal Humidity: 58.00 %, External Illuminance: 689.00 W/m2, Internal CO2: 0.94 %, Internal Oxygen: 7.00 %
2025-03-27 23:31:52 - Internal Temperature: 27.00 ¡ÆC, External Temperature: 15.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 537.00 W/m2, Internal CO2: 0.70 %, Internal Oxygen: 7.00 %
2025-03-27 23:32:44 - Internal Temperature: 29.00 ¡ÆC, External Temperature: 19.00 ¡ÆC, Internal Humidity: 58.00 %, External Illuminance: 513.00 W/m2, Internal CO2: 0.22 %, Internal Oxygen: 7.00 %
2025-03-27 23:32:45 - Internal Temperature: 30.00 ¡ÆC, External Temperature: 19.00 ¡ÆC, Internal Humidity: 54.00 %, External Illuminance: 577.00 W/m2, Internal CO2: 0.98 %, Internal Oxygen: 7.00 %
2025-03-27 23:32:46 - Internal Temperature: 24.00 ¡ÆC, External Temperature: 7.00 ¡ÆC, Internal Humidity: 54.00 %, External Illuminance: 601.00 W/m2, Internal CO2: 0.38 %, Internal Oxygen: 7.00 %
2025-03-27 23:32:57 - Internal Temperature: 27.00 ¡ÆC, External Temperature: 19.00 ¡ÆC, Internal Humidity: 59.00 %, External Illuminance: 505.00 W/m2, Internal CO2: 0.62 %, Internal Oxygen: 7.00 %
2025-03-27 23:32:58 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 5.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 529.00 W/m2, Internal CO2: 0.90 %, Internal Oxygen: 7.00 %
2025-03-27 23:32:59 - Internal Temperature: 28.00 ¡ÆC, External Temperature: 19.00 ¡ÆC, Internal Humidity: 58.00 %, External Illuminance: 593.00 W/m2, Internal CO2: 0.26 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:00 - Internal Temperature: 23.00 ¡ÆC, External Temperature: 1.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 561.00 W/m2, Internal CO2: 1.06 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:00 - Internal Temperature: 19.00 ¡ÆC, External Temperature: 3.00 ¡ÆC, Internal Humidity: 59.00 %, External Illuminance: 609.00 W/m2, Internal CO2: 0.18 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:01 - Internal Temperature: 21.00 ¡ÆC, External Temperature: 19.00 ¡ÆC, Internal Humidity: 58.00 %, External Illuminance: 633.00 W/m2, Internal CO2: 0.54 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:02 - Internal Temperature: 29.00 ¡ÆC, External Temperature: 21.00 ¡ÆC, Internal Humidity: 51.00 %, External Illuminance: 625.00 W/m2, Internal CO2: 0.70 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:03 - Internal Temperature: 27.00 ¡ÆC, External Temperature: 21.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 689.00 W/m2, Internal CO2: 0.10 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:03 - Internal Temperature: 19.00 ¡ÆC, External Temperature: 15.00 ¡ÆC, Internal Humidity: 58.00 %, External Illuminance: 577.00 W/m2, Internal CO2: 0.50 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:04 - Internal Temperature: 20.00 ¡ÆC, External Temperature: 17.00 ¡ÆC, Internal Humidity: 57.00 %, External Illuminance: 697.00 W/m2, Internal CO2: 0.10 %, Internal Oxygen: 7.00 %
2025-03-27 23:33:05 - Internal Temperature: 21.00 ¡ÆC, External Temperature: 3.00 ¡ÆC, Internal Humidity: 55.00 %, External Illuminance: 505.00 W/m2, Internal CO2: 0.50 %, Internal Oxygen: 7.00 %
